Failed Test Case,NT-FDUC,Path,Latest Failed Build ID
test_issue801,1,spaCy/spacy/tests/regression/test_issue1-1000.py,486332722
test_matcher_from_usage_docs,1,spaCy/spacy/tests/matcher/test_matcher_api.py,482010495
test_matcher_no_match,1,spaCy/spacy/tests/matcher/test_matcher_api.py,482010495
test_matcher_match_start,1,spaCy/spacy/tests/matcher/test_matcher_api.py,482010495
test_matcher_match_end,1,spaCy/spacy/tests/matcher/test_matcher_api.py,482010495
test_matcher_match_middle,1,spaCy/spacy/tests/matcher/test_matcher_api.py,482010495
test_matcher_match_multi,1,spaCy/spacy/tests/matcher/test_matcher_api.py,482010495
test_matcher_empty_dict,1,spaCy/spacy/tests/matcher/test_matcher_api.py,482010495
test_matcher_operator_shadow,1,spaCy/spacy/tests/matcher/test_matcher_api.py,482010495
test_matcher_match_zero,1,spaCy/spacy/tests/matcher/test_matcher_api.py,482010495
test_matcher_match_zero_plus,1,spaCy/spacy/tests/matcher/test_matcher_api.py,482010495
test_matcher_match_one_plus,1,spaCy/spacy/tests/matcher/test_matcher_api.py,482010495
test_matcher_any_token_operator,1,spaCy/spacy/tests/matcher/test_matcher_api.py,482010495
test_matcher_extension_attribute,1,spaCy/spacy/tests/matcher/test_matcher_api.py,482010495
test_dependency_tree_matcher,1,spaCy/spacy/tests/matcher/test_matcher_api.py,482010495
test_greedy_matching,1,spaCy/spacy/tests/matcher/test_matcher_logic.py,482010495
test_operator_combos,1,spaCy/spacy/tests/matcher/test_matcher_logic.py,482010495
test_matcher_end_zero_plus,1,spaCy/spacy/tests/matcher/test_matcher_logic.py,482010495
test_entity_ruler_existing,1,spaCy/spacy/tests/pipeline/test_entity_ruler.py,482010495
test_entity_ruler_existing_overwrite,1,spaCy/spacy/tests/pipeline/test_entity_ruler.py,482010495
test_entity_ruler_existing_complex,1,spaCy/spacy/tests/pipeline/test_entity_ruler.py,482010495
test_issue587,1,spaCy/spacy/tests/regression/test_issue1-1000.py,482010495
test_issue590,1,spaCy/spacy/tests/regression/test_issue1-1000.py,482010495
test_issue615,1,spaCy/spacy/tests/regression/test_issue1-1000.py,482010495
test_issue850,1,spaCy/spacy/tests/regression/test_issue1-1000.py,482010495
test_issue850_basic,1,spaCy/spacy/tests/regression/test_issue1-1000.py,482010495
test_issue1434,1,spaCy/spacy/tests/regression/test_issue1001-1500.py,482010495
test_issue1450,1,spaCy/spacy/tests/regression/test_issue1001-1500.py,482010495
test_issue1883,1,spaCy/spacy/tests/regression/test_issue1501-2000.py,482010495
test_issue1945,1,spaCy/spacy/tests/regression/test_issue1501-2000.py,482010495
test_issue2671,1,spaCy/spacy/tests/regression/test_issue2671.py,482010495
test_issue2464,1,spaCy/spacy/tests/regression/test_issue3009.py,482010495
test_doc_api_merge,1,spaCy/spacy/tests/doc/test_doc_api.py,473570385
test_spans_entity_merge_iob,1,spaCy/spacy/tests/doc/test_span_merge.py,473570385
test_predict_doc,1,spaCy/spacy/tests/parser/test_neural_parser.py,470486004
test_update_doc,1,spaCy/spacy/tests/parser/test_neural_parser.py,470486004
test_docs_to_json,1,spaCy/spacy/tests/test_gold.py,460030337
test_vectors__ngrams_word,1,spaCy/spacy/tests/vocab_vectors/test_vectors.py,459896651
test_vectors__ngrams_subword,1,spaCy/spacy/tests/vocab_vectors/test_vectors.py,459896651
test_entity_ruler_serialize_bytes,1,spaCy/spacy/tests/pipeline/test_entity_ruler.py,459893975
